row	matrix	label_orig	label_norm	fix
199	(0,0)(1,1)(2,2)(2,1)(3,2)(3,1)	psi(W_2+psi_1(W_2)^W) = psi(W_2+e(W+1)^W) = psi(W_2+psi_1(W_2+psi_1(W_2+W)))	psi(W_2+psi_1(W_2)^W)	alias3
200	(0,0)(1,1)(2,2)(2,1)(3,2)(3,1)(4,2)	psi(W_2+psi_1(W_2)^psi_1(W_2)) = psi(W_2+e(W+1)^e(W+1)) = psi(W_2+psi_1(W_2+psi_1(W_2+psi_1(W_2))))	psi(W_2+psi_1(W_2)^psi_1(W_2))	alias3
201	(0,0)(1,1)(2,2)(2,2)	psi(W_2*2)	psi(W_2*2)	
202	(0,0)(1,1)(2,2)(2,2)(2,2)	psi(W_2*3)	psi(W_2*3)	
203	(0,0)(1,1)(2,2)(3,0)	psi(W_2*w) = psi(psi_2(1))	psi(W_2*w)	alias2
204	(0,0)(1,1)(2,2)(3,1)	psi(W_2*W) = psi(psi_2(W))	psi(W_2*W)	alias2
205	(0,0)(1,1)(2,2)(3,1)(2,2)	psi(W_2*W+W_2)	psi(W_2*W+W_2)	
206	(0,0)(1,1)(2,2)(3,1)(2,2)(3,0)	psi(W_2*W+W_2*w)	psi(W_2*W+W_2*w)	
207	(0,0)(1,1)(2,2)(3,1)(2,2)(3,1)	psi(W_2*W2)	psi(W_2*W2)	
208	(0,0)(1,1)(2,2)(3,1)(3,0)	psi(W_2*W*w) = psi(psi_2(W+1))	psi(W_2*W*w)	alias2
209	(0,0)(1,1)(2,2)(3,1)(3,1)	psi(W_2*W^2) = psi(psi_2(W2))	psi(W_2*W^2)	alias2
210	(0,0)(1,1)(2,2)(3,1)(4,0)	psi(W_2*W^w) = psi(psi_2(W*w))	psi(W_2*W^w)	alias2
211	(0,0)(1,1)(2,2)(3,1)(4,1)	psi(W_2*W^W) = psi(psi_2(W^2))	psi(W_2*W^W)	alias2
212	(0,0)(1,1)(2,2)(3,1)(4,1)(5,1)	psi(W_2*W^W^W) = psi(psi_2(W^W))	psi(W_2*W^W^W)	alias2
213	(0,0)(1,1)(2,2)(3,1)(4,2)	psi(W_2*psi_1(W_2)) = psi(W_2*e(W+1)) = psi(psi_2(psi_1(W_2)))	psi(W_2*psi_1(W_2))	alias3
